Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Questionnaire-klgateway-children-aims.json	2985	5	0	0	0	0	0	0	4	10	0	0	1	0	0	0	0	0	0	0	98	98	0	0	0	0	3	0	0
fsh-generated/resources/Questionnaire-klgateway-children-epds.json	5846	7	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	157	91	0	0	8	0	2	0	0
fsh-generated/resources/Questionnaire-klgateway-children-puf.json	4626	4	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	255	97	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-klgateway-children-sdq11-17.json	15080	9	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	378	122	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-klgateway-children-sdq4-10.json	14828	11	0	0	0	0	0	0	7	42	0	0	0	0	0	0	0	0	0	0	377	120	0	0	0	0	13	0	0
fsh-generated/resources/Questionnaire-klgateway-children-topi.json	1010	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	73	98	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-ADBBAnswerRikke.json	1918	5	4	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	100	55	1	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-AIMSAnswerRikke.json	1365	6	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	77	48	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-EPDSAnswerKirsten.json	2041	3	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	110	47	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-PUFAnswerRikke.json	4229	11	0	0	0	0	0	0	1	150	0	0	0	0	0	0	0	0	0	0	217	51	0	0	0	0	0	0	0
